"","species","date","hour.1.total","hour.2.total","hour.3.total","hour.4.total","hour.5.total","day.total","total.obs.mins","time.of.obs","start.time.am","start.time.pm","principle.observer","wind.dir.speed","wind.dir","wind.speed","visibility"
"2466","HOGR",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2467","Jaeger sp.",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2468","LAGU",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2469","Large alcid sp.",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2470","LO sp.",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2471","LTDU",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2472","MALL",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2473","MALL/ABDU",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2474","NOGA",2021-10-10,"","","","","",177,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2475","NOPI",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2476","PAJA",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2477","POJA",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2478","RAZO",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2479","RBGU",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2480","RBME",2021-10-10,"","","","","",4,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2481","RNGR",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2482","RNPH",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2483","RTLO",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2484","SC sp.",2021-10-10,"","","","","",16,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2485","Scaup sp.",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2486","Shearwater sp.",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2487","SUSC",2021-10-10,"","","","","",6,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2488","Tern sp.",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2489","UNBI",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2490","WODU",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2491","WWSC",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2492","ABDU",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2493","AMWI",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2494","BLGU",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2495","BLKI",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2496","BLSC",2021-10-11,"","","","","",1,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2497","BLSK",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2498","BOGU",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2499","BRAN",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2500","BUFF",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2501","Calidris sp.",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2502","CANG",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
