"","species","date","hour.1.total","hour.2.total","hour.3.total","hour.4.total","hour.5.total","day.total","total.obs.mins","time.of.obs","start.time.am","start.time.pm","principle.observer","wind.dir.speed","wind.dir","wind.speed","visibility"
"93","RAZO",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"94","RBGU",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"95","RBME",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"96","RNGR",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"97","RNPH",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"98","RTLO",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"99","SC sp.",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"100","SUSC",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"101","Scaup sp.",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"102","Shearwater sp.",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"103","Tern sp.",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"104","UNBI",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"105","WODU",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"106","WWSC",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"107","ABDU",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"108","AMWI",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"109","BLGU",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"110","BLKI",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"111","BLSC",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"112","BLSK",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"113","BOGU",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"114","BRAN",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"115","BUFF",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"116","CANG",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"117","CATE",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"118","CO sp.",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"119","COEI",2021-08-25,"","","","","",63,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"120","COGO",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"121","COLO",2021-08-25,"","","","","",2,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"122","COMU",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"123","COTE",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"124","Calidris sp.",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
