"species","date","year","time.of.obs","total.obs.mins","obs.hours","day.total","count.p.hour","wind.dir.speed","visibility","principle.observer"
"SNBU",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"SSHA",2014-09-08,"2014","6:30-8:30",120,2,2,1,"No Wind",NA,"KO"
"SUSC",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"SWSP",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"Scoter sp.",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"UNID",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"WHIM",2014-09-08,"2014","6:30-8:30",120,2,4,2,"No Wind",NA,"KO"
"WWSC",2014-09-08,"2014","6:30-8:30",120,2,2,1,"No Wind",NA,"KO"
"YBCH",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"YRWA",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"ABDU",2014-09-12,"2014","6:35-8:35",120,2,0,0,"Var 1-3",NA,"KO"
"AMCR",2014-09-12,"2014","6:35-8:35",120,2,0,0,"Var 1-3",NA,"KO"
"ATSP",2014-09-12,"2014","6:35-8:35",120,2,0,0,"Var 1-3",NA,"KO"
"BAEA",2014-09-12,"2014","6:35-8:35",120,2,0,0,"Var 1-3",NA,"KO"
"BAOR",2014-09-12,"2014","6:35-8:35",120,2,0,0,"Var 1-3",NA,"KO"
"BLGU",2014-09-12,"2014","6:35-8:35",120,2,0,0,"Var 1-3",NA,"KO"
"BLKI",2014-09-12,"2014","6:35-8:35",120,2,0,0,"Var 1-3",NA,"KO"
"BLSC",2014-09-12,"2014","6:35-8:35",120,2,0,0,"Var 1-3",NA,"KO"
"BOGU",2014-09-12,"2014","6:35-8:35",120,2,0,0,"Var 1-3",NA,"KO"
